,coba.size,etbl.size,etca.size,etfl.size,etsp.size,ette.size,fuca.size,lecy.size,leme.size,luzo.size,nobo.size,noex.size,coba.fr,etbl.fr,etca.fr,etfl.fr,etsp.fr,ette.fr,fuca.fr,lecy.fr,leme.fr,luzo.fr,nobo.fr,noex.fr,abun,general,dis,meancv,maxcv,temp,canopy,coba,etbl,etca,etfl,etsp,ette,fuca,lecy,leme,luzo,nobo,noex,benthic,wc,cent
bbs,,-0.353,0.142,0.279,-0.696,,,1.151,-0.476,,-1.002,-0.257,,1.472,1.355,1.084,0.330,,,0.123,-0.372,,0.349,0.898,0.085,-0.949,-0.405,-0.575,-0.502,-0.291,0.112,-1.415,-0.567,-0.624,-1.079,-0.245,-1.328,-0.855,-0.301,-0.728,-1.858,1.166,0.243,-1.159,0.359,-0.231
br,,-0.277,-0.880,2.132,0.052,,-0.263,-1.187,-0.157,0.043,-0.166,0.983,,0.463,1.010,0.522,0.395,,1.592,0.957,-0.157,0.088,0.090,0.752,0.227,-0.482,-0.685,-0.650,-0.770,0.690,0.854,-1.415,0.647,-0.300,-1.104,0.839,-1.328,-0.744,0.881,0.965,-0.464,1.399,0.836,-0.325,1.313,1.160
cs,-0.582,1.947,0.466,,,0.923,-0.851,,-0.476,-0.153,-0.166,0.329,-0.592,1.300,0.341,,,1.556,0.849,,1.609,-0.036,-1.094,0.281,-0.660,0.426,1.654,2.035,1.642,-1.586,-2.543,-0.324,-0.769,-0.135,-1.156,-0.879,1.430,-0.300,-0.612,0.173,-1.142,-0.786,-0.349,-0.607,-1.196,-0.133
ct,-0.363,,1.716,0.279,,-0.769,1.539,0.846,,0.144,,0.771,-1.413,,0.287,1.507,,-0.215,0.105,1.183,,0.604,,0.144,0.094,0.466,0.780,0.857,1.168,-1.431,-0.960,0.112,-0.769,-0.854,0.871,-0.818,-0.553,-0.300,-0.487,-1.220,-0.646,-1.095,-0.586,-0.382,-1.709,-1.035
hz,0.049,,-0.199,0.021,,0.802,0.546,-0.193,0.735,0.238,1.837,-0.495,0.847,,0.179,-0.596,,1.014,-1.542,0.334,1.582,-0.852,1.728,-0.455,-0.944,-0.372,1.083,0.612,0.742,1.043,-0.833,0.396,-0.751,-0.188,-0.220,-0.920,0.996,-0.633,-0.736,-0.510,0.954,-1.095,-1.178,-0.278,-0.088,-0.676
id,1.403,,0.142,-1.612,-0.314,,1.539,,-2.158,1.609,,-0.818,1.375,,0.737,0.392,0.786,,-0.328,,0.549,1.786,,0.116,-0.245,-0.344,-0.642,-0.793,-0.715,0.583,0.822,0.723,-0.825,-0.884,1.034,-0.593,-1.328,2.143,-0.674,-1.029,-0.415,-1.095,-0.625,-0.367,-1.068,-0.513
ir,,0.246,-0.199,-0.102,,0.374,-1.224,0.202,0.500,0.238,-1.002,-1.149,,0.086,0.435,0.364,,-0.560,-0.418,-0.552,-0.417,1.408,-0.217,0.838,0.708,0.083,0.089,0.175,0.288,-0.226,0.209,-1.415,2.395,0.095,1.309,-0.920,0.345,-0.633,-0.238,1.183,0.748,0.796,-1.217,1.229,0.892,0.519
lbbs,,0.597,0.466,0.279,1.432,,,1.094,0.388,,-0.166,0.100,,-0.224,0.179,0.387,1.487,,,0.623,0.778,,1.269,1.729,2.130,0.706,-1.032,-1.096,-1.162,1.038,0.228,-1.415,0.187,-1.008,-0.366,2.025,-1.328,-0.855,2.498,1.975,-1.761,-0.499,1.428,-0.221,1.483,2.300
mn,0.849,-0.904,1.407,0.279,0.052,-0.073,-0.184,0.078,-0.570,0.869,1.601,0.771,0.000,-0.082,0.022,-1.119,0.263,-1.014,0.592,-1.423,-0.680,-0.149,-0.451,-1.453,-0.199,-0.230,1.559,1.328,1.408,-1.448,0.612,1.509,-0.696,0.721,-0.976,-0.695,-1.111,0.144,-0.549,-1.001,0.336,-0.903,-0.428,-0.090,-0.621,-0.720
ty,-1.356,-0.904,-0.199,-0.372,0.750,-1.849,-0.425,-0.193,1.599,0.282,-0.576,1.544,-0.217,-0.837,-1.836,-1.214,-1.415,-1.045,-0.851,-1.639,-1.488,-0.971,-1.560,-1.351,-1.175,-1.961,-0.788,-0.726,-0.660,0.066,0.086,-1.154,-0.677,0.402,-0.684,-0.798,-1.142,1.477,1.192,0.528,0.857,-1.012,-0.546,-0.262,0.277,0.790
ml,,0.797,-0.880,-1.182,0.584,0.591,,,0.961,-1.820,0.355,0.219,,-0.460,-1.594,-1.327,-0.666,0.264,,,-0.746,-0.906,0.383,-1.276,-1.253,0.527,-0.714,-0.297,-0.447,0.823,0.597,-1.263,0.886,2.691,1.214,0.061,0.035,-0.522,-0.612,0.009,1.572,-0.896,0.480,2.673,0.431,-0.622
ro,,-1.151,-1.983,,-1.860,,,-1.797,-0.345,-1.451,-0.718,-1.999,,-1.718,-1.113,,-1.180,,,0.394,-0.657,-0.971,-0.497,-0.222,1.232,2.129,-0.898,-0.869,-0.990,0.737,0.815,-1.415,0.114,0.084,-1.156,1.104,-1.328,-0.633,-0.363,-0.346,-0.040,0.735,1.941,-0.210,-0.072,-0.839
