habitat,cysp.size,cysp.fr,etbl.size,etbl.fr,etca.size,etca.fr,etsp.size,etsp.fr,luch.size,luch.fr,luzo.size,luzo.fr,nobo.size,nobo.fr,meancv,maxcv,depth,canopy,total,general,cysp,etbl,etca,etni,etsp,leme,luch,luzo,nobo,totalfish,benthic,wc,cent,totalfishB,benthicB,wcB,centB,leme.size,leme.fr
rf1,-0.04,0.7924,-0.1925,0.3514,1.0515,1.1592,0.1105,1.5796,0.1497,-0.0402,0.5606,-0.0965,0.4196,0.5023,2.1664,1.6561,-0.8685,0.624,0.8702,0.8394,1.3207,2.0653,1.9057,-0.582,1.7724,-0.6694,3.2218,0.7498,0.0068,1.1463,1.7828,0.7351,-0.0865,0.1236,1.094,0.7032,-0.7296,,
rf2,0.8493,0.1629,0.4034,0.6064,-0.8287,0.4769,-1.4326,0.916,-0.5723,-0.9843,0.3159,-0.0205,0.9493,0.4568,0.1412,0.852,0.0772,-0.6473,1.2166,1.2458,2.7074,0.3919,1.3097,-0.582,1.3479,-0.3657,0.0067,2.6657,1.5174,1.7433,1.1841,1.5857,-1.0121,0.6941,0.8556,1.9895,-0.367,,
rf3,,,-1.2823,0.2317,-0.4534,-0.57,0.1105,-0.4497,,,0.398,-0.6286,0.9493,0.6202,0.8944,1.0569,-1.0542,0.7224,1.1047,1.11,0.0803,2.0653,1.2477,1.6109,0.0828,-0.5473,-0.5884,1.0871,2.264,1.2572,1.4014,1.7722,-0.5824,0.1693,1.064,1.3932,-1.3684,,
rf4,-0.7592,0.1136,-0.1925,-0.3,-1.2218,0.0446,0.4753,-0.1859,2.1407,-0.9347,0.8793,0.028,,,0.7672,0.852,-1.6145,-1.5708,0.6265,0.5095,-0.2514,0.754,1.1349,2.4303,1.2384,-1.2917,-0.3867,-0.0251,0.3331,0.6774,1.2278,0.1218,-0.5361,-0.6298,0.8026,-0.1222,-1.2613,,
rf5,-0.5141,0.8199,-1.1228,0.9672,0.2495,0.5594,0.1105,-0.1987,0.1497,0.34,0.8793,1.8002,,,1.8775,1.7445,-1.8198,-1.1229,1.5675,1.5662,1.3207,0.3176,1.1205,-0.582,1.2163,-1.2917,1.0098,1.0871,-0.4018,0.6011,0.9106,0.2071,-1.623,-0.2329,0.4287,0.7928,-0.7406,,
run1,1.4034,-2.1017,,,,,-0.2623,0.7876,-0.0068,-1.2608,,,-0.6004,-0.0478,-0.617,-0.6349,0.23,0.4532,-1.1767,-1.1773,-0.7142,-0.4013,-0.6957,-0.2252,-0.719,-0.237,-0.3582,-0.732,-0.644,-0.6869,-0.6862,-0.7745,-0.3081,-1.5244,-0.9684,-0.8728,-0.4854,1.4913,-1.2936
run2,-0.8422,-0.5457,1.123,0.2348,,,-0.6435,0.7855,-0.9085,-0.1802,-1.358,-0.1066,-1.0804,0.4943,0.1792,0.2615,0.2216,-0.0761,0.4382,0.4811,-0.3641,0.4656,-0.4869,-0.582,0.9468,-0.1858,0.3504,-0.0919,1.2529,1.1244,0.1723,1.381,2.0194,1.0156,1.8097,0.5753,0.2686,-1.6715,1.0652
run3,0.037,0.6285,,,,,-1.8413,-0.6214,0.7551,-0.2985,,,-0.5232,-0.8759,-0.57,-0.4967,0.4369,0.6428,-1.6407,-1.6538,-0.6037,-0.797,-0.6957,-0.582,-0.7987,0.1019,-0.2448,-0.732,-0.8352,-1.2804,-0.8649,-0.9745,-1.1892,-1.5763,-1.0284,-0.959,-0.4712,-0.0708,0.8073
run4,-1.442,-0.154,,,,,,,-0.4898,0.1585,,,1.2636,0.9225,-0.4443,-0.3182,-0.0205,-0.1301,-0.3154,-0.2927,-0.2781,-0.248,-0.6957,-0.2252,-0.8791,-0.5821,0.1988,0.1155,0.6591,-0.0033,-0.5602,0.508,-0.2442,-1.165,-1.0396,0.1306,-0.5959,1.3158,-0.3893
run5,-1.0102,0.5149,1.2637,-2.0915,,,,,-1.5221,1.9031,0.0663,0.709,0.9493,-0.3882,-0.3865,-0.1457,0.1674,-2.3809,-0.0397,-0.0096,-0.3641,-0.6285,-0.6957,-0.582,-0.8791,1.5252,-0.467,-0.5105,-0.6325,-0.7606,-0.722,-0.6896,-0.3081,0.6495,0.6915,0.7835,0.4496,0.1955,0.4371
pl1,,,,,,,,,,,,,,,-0.8687,-1.0733,1.4206,0.8503,0.277,0.3156,-0.8258,-0.797,-0.6957,-0.582,-0.8791,0.3194,-0.5884,-0.732,-0.8852,-1.0246,-0.8882,-1.0721,0.671,1.8112,-1.0396,-1.233,2.1463,-1.2099,-0.4084
pl2,0.7779,0.3128,,,,,,,,,,,,,-0.8687,-1.0733,0.1442,0.8219,-1.0997,-1.0982,-0.226,-0.797,-0.6957,-0.582,-0.8791,0.2935,-0.5884,-0.732,-0.8394,-0.8032,-0.8882,-0.9652,1.2394,0.9979,-1.0396,-0.7268,1.4948,-0.0708,0.8353
pl3,,,,,,,1.0082,-1.6868,,,,,,,-0.8687,-1.0733,-0.0669,0.8447,-0.2368,-0.2121,-0.8258,-0.797,-0.6957,0.1189,-0.5659,-0.5913,-0.5884,-0.732,-0.8852,-1.0885,-0.7535,-1.0721,-0.0145,-0.8582,-0.9385,-1.233,0.1303,0.7084,-1.1962
pl4,-0.1957,-1.6889,,,,,1.1822,0.4005,,,,,-1.2469,0.6943,-0.5557,-0.6349,1.1809,0.6428,-1.3934,-1.3999,-0.5318,-0.797,-0.6957,-0.582,-0.6672,1.3891,-0.5884,-0.732,-0.2346,-0.3982,-0.7671,-0.2491,1.1096,0.6187,-0.3558,-0.6612,1.0855,-0.3441,1.2738
pl5,1.7357,1.1452,,,1.2029,-1.67,1.1822,-1.3268,0.3041,1.297,-1.7415,-1.6851,-1.0804,-2.3784,-0.8462,-0.9725,1.5655,0.326,-0.1982,-0.2241,-0.4441,-0.797,-0.6663,1.5281,-0.3373,2.1327,-0.389,-0.6857,-0.6753,-0.5039,-0.5486,-0.5139,0.8648,-0.0934,-0.3363,-0.5602,0.4444,-0.3441,-1.1312
