spr12,coba.size,coba.fr,etca.size,etca.fr,etfl.size,etfl.fr,luzo.size,luzo.fr,meancv,maxcv,total,general,coba,etca,etfl,luzo,totalfish,benthic,wc,fishB,benthicB,wcB
rf1,-0.274,-0.013,0.615,-1.429,0.830,0.731,1.797,0.591,1.564,1.558,-0.938,-0.962,1.557,1.324,0.603,-0.585,1.219,1.328,-0.336,1.185,1.370,0.406
rf2,0.653,1.027,0.109,-0.441,1.117,0.883,0.129,0.158,0.527,1.114,1.062,-0.154,1.775,1.735,2.190,1.635,1.773,1.701,1.352,1.177,1.319,1.206
rf3,0.105,-1.539,1.102,0.349,0.537,-0.721,1.703,1.634,1.110,0.667,-0.553,-1.116,2.067,0.672,-0.624,1.124,0.951,0.992,0.465,0.748,0.954,0.385
rf4,0.105,1.571,1.572,1.451,0.537,-1.272,-0.349,0.605,1.436,0.955,0.773,0.122,0.348,0.843,0.209,0.724,0.516,0.649,-0.139,0.267,0.480,0.381
rf5,-1.276,0.844,-1.249,-0.832,0.239,0.253,0.012,0.494,1.088,1.436,0.336,0.594,0.257,1.700,2.327,0.163,1.768,1.820,-0.204,0.575,0.861,-0.701
rn1,-1.276,-0.252,-0.418,1.177,,,-0.600,0.532,0.274,0.023,1.282,1.583,-0.619,-0.343,-0.624,0.163,-0.578,-0.544,0.231,-0.790,-0.589,0.059
rn2,0.382,1.068,0.615,0.988,-1.187,1.551,-0.728,-0.220,0.511,0.411,-1.850,-1.308,-0.505,-0.006,-0.525,-0.129,-0.530,-0.391,-0.609,-0.239,-0.367,-0.712
rn3,,,-1.538,-0.738,,,-0.349,-1.486,-0.646,-0.155,-0.561,-0.100,-0.798,-0.644,-0.624,0.587,-0.240,-0.580,1.540,-1.060,-0.933,0.170
rn4,1.843,-0.407,-0.418,0.462,,,-0.349,-0.885,-0.450,-0.309,1.576,1.492,-0.286,-1.165,-0.624,1.635,-0.643,-0.994,1.206,-0.736,-0.988,1.577
rn5,,,0.615,-0.748,-1.696,-0.893,,,-0.515,-0.536,0.682,1.073,-0.798,-0.684,-0.477,-1.063,-0.911,-0.580,-0.973,-1.250,-0.929,-1.036
pl1,0.290,-1.116,,,,,-1.264,-1.422,-1.270,-1.301,-1.511,-1.893,-0.595,-0.484,-0.539,0.101,-0.177,-0.565,1.480,-0.091,-0.749,1.846
pl2,0.830,-0.386,0.615,1.006,-0.378,-0.532,,,-1.315,-1.423,-0.230,-0.079,-0.497,-1.131,-0.375,-0.674,-0.746,-0.871,-0.680,0.368,-0.941,-0.761
pl3,-1.381,-0.798,-1.833,0.212,,,,,-0.550,-0.706,-0.107,0.384,-0.309,-0.974,-0.624,-1.227,-1.427,-0.909,-1.470,-1.464,-0.904,-1.595
pl4,,,-0.152,-1.740,,,,,-0.450,-0.309,0.408,0.301,-0.798,-0.358,-0.624,-1.227,-0.316,-0.694,-0.803,1.919,1.718,-0.281
pl5,,,0.364,0.284,,,,,-1.315,-1.423,-0.367,0.063,-0.798,-0.484,0.332,-1.227,-0.658,-0.361,-1.060,-0.609,-0.302,-0.944
