win11,coba.size,coba.fr,etca.size,etca.fr,etfl.size,etfl.fr,luzos.size,luzos.fr,luzo.size,luzo.fr,meancv,maxcv,general,obligate,coba,etca,etfl,luzo,totalfish,benthic,wc,fishB,benthicB,wcB
rf1,-1.225,-1.395,-0.771,-0.391,-1.003,-1.713,,,,,1.647,1.015,0.163,0.059,-0.993,-0.174,-0.438,-0.635,-0.833,-0.395,-0.866,-0.579,-0.091,-0.708
rf2,-0.095,0.838,-1.746,-0.302,0.645,-0.103,,,,,1.366,1.122,0.95,0.926,1.174,2.03,1.999,-0.635,1.803,1.858,-0.754,1.629,1.742,-0.634
rf3,1.323,0.019,1.544,-1.003,0.842,1.069,,,,,1.018,0.621,0.006,0.062,0.537,1.292,0.899,-0.567,0.917,1.094,-0.754,1.403,1.548,-0.551
rf4,0.448,0.783,-0.027,0.213,-1.003,0.792,1.111,-0.895,-1.262,0.214,0.866,1.046,0.464,0.455,0.537,0.588,0.325,0.237,0.352,0.501,-0.148,0.514,0.775,-0.341
rf5,0.448,0.963,0.334,-1.677,1.036,1.345,,,,,0.805,1.48,-0.422,-0.352,1.809,0.824,1.772,-0.635,1.443,1.544,-0.699,1.206,1.384,-0.568
rn1,0.088,0.19,0.334,0.458,0.447,-0.214,,,-0.31,0.715,0.033,-0.242,0.15,0.199,-0.526,-0.648,-0.131,-0.177,-0.478,-0.258,-0.242,-0.832,-0.493,-0.028
rn2,0.802,0.842,-0.962,0.921,0.842,-1.27,,,,,-0.193,-0.176,0.328,0.307,-0.011,-0.326,-0.667,-0.432,-0.796,-0.495,-0.438,-0.981,-0.565,-0.231
rn3,-1.032,0.31,0.688,2.111,,,,,0.376,0.968,0.211,0.621,0.415,0.354,-0.094,-0.939,-0.751,-0.115,-1.072,-0.754,-0.438,-1.173,-0.79,-0.108
rn4,,,-0.027,0.965,-0.368,0.189,1.022,-0.639,1.148,-1.071,-0.104,-0.069,0.908,0.901,-0.896,-0.762,-0.667,-0.432,-1.051,-0.816,-0.242,-1.24,-0.832,-0.162
rn5,-0.095,0.301,1.036,0.407,0.447,0.575,-0.318,-0.639,-0.78,0.808,-0.12,-0.006,0.801,0.784,1.986,1.224,1.277,0.123,1.357,1.396,0.032,0.831,1.026,-0.155
pl1,,,-1.547,-0.245,-1.883,-0.672,-0.524,1.623,-1.14,-1.781,-0.971,-0.473,0.493,0.476,-0.828,0.267,-0.547,3.197,0.425,-0.341,2.326,-0.296,-0.327,0.449
pl2,1.151,-2.065,,,,,,,,,-1.558,-1.788,-0.145,-0.087,-0.513,-1.188,-0.78,-0.635,-0.931,-0.875,-0.584,0.103,-0.899,-0.343
pl3,-1.813,-0.785,1.036,-1.426,,,-1.167,-0.024,1.039,0.585,-0.578,-0.619,-0.52,-0.498,-0.362,-0.87,-0.731,0.022,-0.898,-0.801,-0.083,-0.7,-0.832,-0.276
pl4,,,-0.582,-0.317,,,-1.057,1.176,0.93,-0.437,-0.864,-0.745,-0.395,-0.342,-0.828,-0.132,-0.78,1.09,-0.408,-0.539,0.68,-0.799,-0.547,0.22
pl5,,,0.688,0.287,,,0.932,-0.602,,,-1.558,-1.788,-3.197,-3.243,-0.993,-1.188,-0.78,-0.404,0.17,-1.118,2.209,0.914,-1.1,3.434
